Ordine delle risposte 
 versione 	q1	q2	q3	q4	q5	q6	q7	q8	q9	q10	q11	q12	q13	q14	q15	q16	q17	q18	q19	q20	q21	q22	q23	q24	q25	q26	q27	q28	q29	q30	q31	q32	q33	q34	q35	q36	q37	q38	q39	q40	
0	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	
1	1342	2413	3241	3412	4213	4231	1243	2143	3412	2341	1324	4123	2134	2413	1324	4132	3142	1324	3412	2413	3214	1342	3412	4312	4213	2134	3124	4132	4213	1234	3214	1324	1432	3214	4231	1432	3241	2413	3241	2413	
2	4312	2314	1342	2431	4213	1234	4132	1432	3214	3124	3124	1234	3142	4231	3412	2413	4132	1324	3412	2314	3421	4321	2314	1423	3412	4213	2431	3214	3142	3124	3142	4321	4231	3214	4321	2143	1432	1234	3412	1324	
3	2314	4321	2134	3214	1234	3412	1234	2134	3124	2143	2431	4213	1243	1342	1432	4321	4213	1324	2341	3214	3421	3142	1423	4312	1243	4213	1423	4132	2341	4321	2413	1234	4132	4132	3214	2134	1342	2431	3241	4231	
4	2341	4321	4312	2134	3124	3241	3214	2341	2143	2134	3142	4123	4321	4312	2143	2413	4312	1423	2413	4132	2314	4321	3412	3241	3124	3124	1234	4321	4321	3214	4132	4123	2143	2431	1324	3421	3124	1243	3214	2341	
5	3142	3421	3214	1432	2143	4321	4132	2341	1324	4321	2413	2341	4312	1234	1423	1234	2134	4123	4312	1243	1243	2341	1324	3142	4123	2413	4231	4312	3124	4321	2143	2143	4213	2413	1342	1243	2341	1324	1243	1423	
6	2134	2143	4312	1423	1324	4312	4213	1432	2314	2134	3412	3124	2134	2341	4312	4123	3124	4132	3214	1423	4132	4231	1342	2134	1243	1423	4123	2314	2431	4132	1324	4321	4213	1234	1324	1423	2431	3241	3421	2314	
7	4231	1423	1432	1342	2413	3241	1423	2341	3214	2431	2314	4312	3421	1423	4312	1234	2341	4213	2431	3421	1324	4213	2134	3142	2341	1342	2341	2314	4132	2341	3412	4132	1432	1432	2143	3214	2341	4231	1342	3124	
8	3124	4321	4321	2314	4321	1342	2413	2143	4132	3124	1234	3214	4132	1234	4231	3241	2341	1432	4312	3241	4321	2314	3412	2413	3142	1432	3142	4132	3124	4123	3241	4231	3124	4312	1342	4312	1243	2431	1342	1342	
9	3412	3124	1432	3421	2134	2143	2431	2134	3241	1234	1423	1234	4321	2341	1342	2431	4312	1234	1243	1423	1324	3412	3412	1324	1423	4321	2413	4213	2134	3421	2341	3412	4132	1243	4231	2341	3124	3214	2134	4321	
10	4312	2314	4312	3214	1243	4321	2413	2341	4312	3421	4132	1432	2413	2431	3421	2143	1423	3421	1234	3214	2413	1243	4213	4213	2143	3241	2413	4312	4321	1432	4231	1243	4321	1234	2314	3412	3124	3412	4312	2413	
11	3241	4123	1243	2413	1243	3241	1324	4123	4213	3421	4231	4213	2143	1324	1423	4321	1243	3124	1324	3142	1342	2413	2431	2314	1324	1432	3421	4321	4321	4312	3214	2134	2413	1432	4123	2413	3241	4321	4123	1324	
12	4231	2134	1423	2413	2341	2134	3241	2314	4132	2314	3124	2431	2413	1432	3142	4213	1324	1423	1243	2431	3412	4231	4231	1243	3421	3412	3412	1243	2431	2413	1243	3241	4312	4213	3241	4312	4132	4123	4231	2143	
13	4213	3124	1423	1342	1324	3412	3124	3412	1234	3214	3241	1342	3412	1243	2134	2341	3142	3241	2431	4132	3421	2143	2134	2431	4123	1243	3142	3142	4231	1342	1234	3142	1324	4321	1243	4312	1342	2143	1423	2143	
14	3142	2314	1423	3241	3214	2341	4321	4213	1324	4321	2143	2314	2431	4231	3421	1432	1423	4132	1423	2341	4321	3124	4213	4213	4231	4213	2413	2431	1432	1342	1432	4312	3421	2314	3124	3124	3214	4321	2314	4321	
15	3214	3421	4123	4213	1432	1234	2413	4132	2431	2431	4231	1432	4231	2341	4312	3142	2134	2134	1432	2143	4321	2314	2431	4213	1432	2314	1234	2143	3142	2341	3142	2134	3241	3241	4321	4132	4132	4132	4213	4321	
